instance_name,level,replicate_id,node_precision,node_recall,node_f1,edge_precision,edge_recall,edge_f1,n_ged
da-01-longTermCareInsurance,background,0,1.0,0.7142857142857143,0.8333333333333333,0.75,0.23076923076923078,0.3529411764705882,0.5172413793103449
da-01-longTermCareInsurance,background,1,1.0,0.8571428571428571,0.923076923076923,0.16666666666666666,0.07692307692307693,0.10526315789473684,0.59375
da-01-longTermCareInsurance,background,2,1.0,0.8571428571428571,0.923076923076923,0.25,0.15384615384615385,0.1904761904761905,0.5588235294117647
da-01-longTermCareInsurance,background,3,1.0,0.8571428571428571,0.923076923076923,0.14285714285714285,0.07692307692307693,0.1,0.6060606060606061
da-01-longTermCareInsurance,background,4,1.0,0.8571428571428571,0.923076923076923,0.42857142857142855,0.23076923076923078,0.3,0.48484848484848486
da-02-carryUmbrella,background,0,0.6,0.75,0.6666666666666665,0.25,0.25,0.25,0.5294117647058824
da-02-carryUmbrella,background,1,0.4,0.5,0.4444444444444445,0.5,0.5,0.5,0.5294117647058824
da-02-carryUmbrella,background,2,0.5,0.5,0.5,0.6666666666666666,0.5,0.5714285714285715,0.4666666666666667
da-02-carryUmbrella,background,3,0.4,0.5,0.4444444444444445,0.5,0.5,0.5,0.5294117647058824
da-02-carryUmbrella,background,4,0.6,0.75,0.6666666666666665,0.25,0.25,0.25,0.5294117647058824
da-04-cargoContainerScreening,background,0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5,0.3333333333333333,0.4,0.42105263157894735
da-04-cargoContainerScreening,background,1,0.875,0.7777777777777778,0.823529411764706,0.5,0.25,0.3333333333333333,0.42857142857142855
da-04-cargoContainerScreening,background,2,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.5,0.16666666666666666,0.25,0.47058823529411764
da-04-cargoContainerScreening,background,3,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.75,0.5,0.6,0.2894736842105263
da-04-cargoContainerScreening,background,4,0.875,0.7777777777777778,0.823529411764706,0.5,0.25,0.3333333333333333,0.42857142857142855
da-05-chemicalUsage,background,0,1.0,0.8333333333333334,0.9090909090909091,0.6,0.5,0.5454545454545454,0.36363636363636365
da-05-chemicalUsage,background,1,1.0,0.8333333333333334,0.9090909090909091,0.6,0.5,0.5454545454545454,0.36363636363636365
da-05-chemicalUsage,background,2,1.0,0.8333333333333334,0.9090909090909091,0.6,0.5,0.5454545454545454,0.36363636363636365
da-05-chemicalUsage,background,3,1.0,0.8333333333333334,0.9090909090909091,0.4,0.3333333333333333,0.3636363636363636,0.45454545454545453
da-05-chemicalUsage,background,4,1.0,0.8333333333333334,0.9090909090909091,0.4,0.3333333333333333,0.3636363636363636,0.45454545454545453
da-06-stayAtHome,background,0,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.5,0.21052631578947367,0.2962962962962963,0.5714285714285714
da-06-stayAtHome,background,1,0.7,0.5384615384615384,0.608695652173913,0.375,0.15789473684210525,0.22222222222222218,0.6
da-06-stayAtHome,background,2,0.7777777777777778,0.5384615384615384,0.6363636363636364,0.0,0.0,0.0,0.7291666666666666
da-06-stayAtHome,background,3,0.75,0.46153846153846156,0.5714285714285714,0.0,0.0,0.0,0.7608695652173914
da-06-stayAtHome,background,4,1.0,0.6923076923076923,0.8181818181818181,0.0,0.0,0.0,0.6666666666666666
gpt-01-disasterManagement,background,0,1.0,1.0,1.0,0.6666666666666666,0.5,0.5714285714285715,0.2
gpt-01-disasterManagement,background,1,1.0,1.0,1.0,0.6666666666666666,0.5,0.5714285714285715,0.2
gpt-01-disasterManagement,background,2,1.0,1.0,1.0,0.6666666666666666,0.5,0.5714285714285715,0.2
gpt-01-disasterManagement,background,3,1.0,1.0,1.0,0.6666666666666666,0.5,0.5714285714285715,0.2
gpt-01-disasterManagement,background,4,1.0,1.0,1.0,0.6666666666666666,0.5,0.5714285714285715,0.2
gpt-02-scienceArtSelection,background,0,1.0,1.0,1.0,1.0,0.75,0.8571428571428571,0.06666666666666667
gpt-02-scienceArtSelection,background,1,1.0,1.0,1.0,1.0,0.75,0.8571428571428571,0.06666666666666667
gpt-02-scienceArtSelection,background,2,1.0,1.0,1.0,1.0,0.75,0.8571428571428571,0.06666666666666667
gpt-02-scienceArtSelection,background,3,1.0,1.0,1.0,1.0,0.75,0.8571428571428571,0.06666666666666667
gpt-02-scienceArtSelection,background,4,1.0,1.0,1.0,1.0,0.75,0.8571428571428571,0.06666666666666667
gpt-03-electricVehicleMarketing,background,0,1.0,0.4,0.5714285714285715,0.0,0.0,0.0,0.6666666666666666
gpt-03-electricVehicleMarketing,background,1,1.0,0.4,0.5714285714285715,0.0,0.0,0.0,0.6666666666666666
gpt-03-electricVehicleMarketing,background,2,1.0,0.4,0.5714285714285715,0.0,0.0,0.0,0.6666666666666666
gpt-03-electricVehicleMarketing,background,3,1.0,0.4,0.5714285714285715,0.0,0.0,0.0,0.6666666666666666
gpt-03-electricVehicleMarketing,background,4,1.0,0.4,0.5714285714285715,0.0,0.0,0.0,0.6666666666666666
gpt-04-agriculturalProduction,background,0,1.0,1.0,1.0,0.4,0.4,0.4000000000000001,0.2727272727272727
gpt-04-agriculturalProduction,background,1,1.0,1.0,1.0,0.4,0.4,0.4000000000000001,0.2727272727272727
gpt-04-agriculturalProduction,background,2,1.0,1.0,1.0,0.4,0.4,0.4000000000000001,0.2727272727272727
gpt-04-agriculturalProduction,background,3,1.0,1.0,1.0,0.8,0.8,0.8000000000000002,0.09090909090909091
gpt-04-agriculturalProduction,background,4,1.0,1.0,1.0,0.4,0.4,0.4000000000000001,0.2727272727272727
