instance,context,-1,0,1
cpd3,1,-0.07520049200179997,0.10159930799819991,0.4155985779992001
cpd9,1,-0.017601427998199998,0.19519801200179993,0.47319784200080006
cpd5,1,-0.008000000000000035,0.20200000000000004,0.5159999999999998
cpd7,1,-0.02899913000179999,0.18000106999819998,0.4545015899992
cpd8,1,0.02799964000000002,0.25599945999999996,0.5479996799999999
cpd1,1,-0.08299894999820007,0.09000161000179988,0.3985019900007999
cpd4,1,-0.05599904,0.13500133999999997,0.42650179
cpd2,1,-0.043999640000000007,0.14800053999999993,0.48400031999999993
cpd6,1,-0.04640096000000002,0.14839865999999996,0.4443982099999999
