instance,context,do not invest,invest
cpd7,1,-0.049999999999999996,-0.6
cpd5,1,-0.05000000000000002,-0.6000000000000001
cpd6,1,-0.05000000000000001,-0.6
cpd1,1,-0.05,-0.6000000000000001
cpd2,1,-0.05000000000000001,-0.6
cpd4,1,-0.05000000000000001,-0.6
cpd9,1,-0.049999999999999996,-0.6000000000000001
cpd3,1,-0.05,-0.6000000000000001
cpd8,1,-0.05000000000000001,-0.6
