instance,context,launch,not launch
cpd15,1,0.15649999999999986,0.0
cpd18,1,0.11799999999999988,0.0
cpd21,1,0.02719999999999989,0.0
cpd6,1,0.31660000000000005,0.0
cpd5,1,0.24100000000000005,0.0
cpd8,1,0.18400000000000016,0.0
cpd4,1,0.1654000000000001,0.0
cpd27,1,-0.0344000000000001,0.0
cpd2,1,0.29800000000000004,0.0
cpd7,1,0.09760000000000019,0.0
cpd9,1,0.2704000000000001,0.0
cpd23,1,-0.1260000000000001,0.0
cpd19,1,-0.20320000000000005,0.0
cpd25,1,-0.2936,0.0
cpd20,1,-0.08800000000000002,0.0
cpd26,1,-0.16399999999999998,0.0
cpd16,1,-0.09800000000000003,0.0
cpd1,1,0.23320000000000002,0.0
cpd24,1,-0.0036000000000001586,0.0
cpd22,1,-0.24840000000000007,0.0
cpd12,1,0.19499999999999995,0.0
cpd14,1,0.05749999999999994,0.0
cpd10,1,0.014999999999999902,0.0
cpd11,1,0.1050000000000001,0.0
cpd17,1,0.009999999999999953,0.0
cpd3,1,0.3628000000000001,0.0
cpd13,1,-0.04149999999999998,0.0
