instance,context,arts,science
cpd1,1,0.22300000000000003,0.216
cpd7,1,0.29100000000000004,0.372
cpd3,1,0.34299999999999997,0.45600000000000007
cpd2,1,0.28300000000000003,0.336
cpd8,1,0.3510000000000001,0.492
cpd5,1,0.31700000000000006,0.41400000000000003
cpd4,1,0.257,0.29399999999999993
cpd6,1,0.377,0.534
cpd9,1,0.41100000000000003,0.6120000000000001
