instance,context,elevated,normal
cpd6,1,-0.10000000000000006,0.01200000000000001
cpd8,1,-0.25,-0.31799999999999984
cpd3,1,-0.1,0.2009999999999999
cpd4,1,-0.3999999999999999,-0.39599999999999996
cpd7,1,-0.4,-0.45899999999999996
cpd1,1,-0.3999999999999999,-0.3329999999999999
cpd2,1,-0.24999999999999994,-0.06599999999999989
cpd5,1,-0.2499999999999999,-0.192
cpd9,1,-0.10000000000000006,-0.17699999999999994
