instance,replicate_id,method,mean_rank,sem_rank,mean_loss,sem_loss,model
da-01-longTermCareInsurance,0,random,0.75,0.07777137710478188,-0.25,0.07777137710478188,baseline
da-01-longTermCareInsurance,1,random,0.75,0.07777137710478188,-0.25,0.07777137710478188,baseline
da-01-longTermCareInsurance,2,random,0.75,0.07777137710478188,-0.25,0.07777137710478188,baseline
da-01-longTermCareInsurance,3,random,0.75,0.07777137710478188,-0.25,0.07777137710478188,baseline
da-01-longTermCareInsurance,4,random,0.75,0.07777137710478188,-0.25,0.07777137710478188,baseline
da-01-longTermCareInsurance,0,random-sc,0.75,0.07777137710478188,-0.25,0.07777137710478188,baseline
da-01-longTermCareInsurance,1,random-sc,0.75,0.07777137710478188,-0.25,0.07777137710478188,baseline
da-01-longTermCareInsurance,2,random-sc,0.75,0.07777137710478188,-0.25,0.07777137710478188,baseline
da-01-longTermCareInsurance,3,random-sc,0.75,0.07777137710478188,-0.25,0.07777137710478188,baseline
da-01-longTermCareInsurance,4,random-sc,0.75,0.07777137710478188,-0.25,0.07777137710478188,baseline
da-02-carryUmbrella,0,random,0.5,0.08980265101338744,-0.46875,0.08962708359030336,baseline
da-02-carryUmbrella,1,random,0.5,0.08980265101338744,-0.46875,0.08962708359030336,baseline
da-02-carryUmbrella,2,random,0.5,0.08980265101338744,-0.46875,0.08962708359030336,baseline
da-02-carryUmbrella,3,random,0.5,0.08980265101338744,-0.46875,0.08962708359030336,baseline
da-02-carryUmbrella,4,random,0.5,0.08980265101338744,-0.46875,0.08962708359030336,baseline
da-02-carryUmbrella,0,random-sc,0.5,0.08980265101338744,-0.46875,0.08962708359030336,baseline
da-02-carryUmbrella,1,random-sc,0.5,0.08980265101338744,-0.46875,0.08962708359030336,baseline
da-02-carryUmbrella,2,random-sc,0.5,0.08980265101338744,-0.46875,0.08962708359030336,baseline
da-02-carryUmbrella,3,random-sc,0.5,0.08980265101338744,-0.46875,0.08962708359030336,baseline
da-02-carryUmbrella,4,random-sc,0.5,0.08980265101338744,-0.46875,0.08962708359030336,baseline
da-04-cargoContainerScreening,0,random,0.5,0.1042572070285374,-0.5,0.1042572070285374,baseline
da-04-cargoContainerScreening,1,random,0.5,0.1042572070285374,-0.5,0.1042572070285374,baseline
da-04-cargoContainerScreening,2,random,0.5,0.1042572070285374,-0.5,0.1042572070285374,baseline
da-04-cargoContainerScreening,3,random,0.5,0.1042572070285374,-0.5,0.1042572070285374,baseline
da-04-cargoContainerScreening,4,random,0.5,0.1042572070285374,-0.5,0.1042572070285374,baseline
da-04-cargoContainerScreening,0,random-sc,0.5,0.1042572070285374,-0.5,0.1042572070285374,baseline
da-04-cargoContainerScreening,1,random-sc,0.5,0.1042572070285374,-0.5,0.1042572070285374,baseline
da-04-cargoContainerScreening,2,random-sc,0.5,0.1042572070285374,-0.5,0.1042572070285374,baseline
da-04-cargoContainerScreening,3,random-sc,0.5,0.1042572070285374,-0.5,0.1042572070285374,baseline
da-04-cargoContainerScreening,4,random-sc,0.5,0.1042572070285374,-0.5,0.1042572070285374,baseline
da-05-chemicalUsage,0,random,0.4375,0.11967838846954226,-0.5253536471213897,0.12359791537697828,baseline
da-05-chemicalUsage,1,random,0.4375,0.11967838846954226,-0.5253536471213897,0.12359791537697828,baseline
da-05-chemicalUsage,2,random,0.4375,0.11967838846954226,-0.5253536471213897,0.12359791537697828,baseline
da-05-chemicalUsage,3,random,0.4375,0.11967838846954226,-0.5253536471213897,0.12359791537697828,baseline
da-05-chemicalUsage,4,random,0.4375,0.11967838846954226,-0.5253536471213897,0.12359791537697828,baseline
da-05-chemicalUsage,0,random-sc,0.4375,0.11967838846954226,-0.5253536471213897,0.12359791537697828,baseline
da-05-chemicalUsage,1,random-sc,0.4375,0.11967838846954226,-0.5253536471213897,0.12359791537697828,baseline
da-05-chemicalUsage,2,random-sc,0.4375,0.11967838846954226,-0.5253536471213897,0.12359791537697828,baseline
da-05-chemicalUsage,3,random-sc,0.4375,0.11967838846954226,-0.5253536471213897,0.12359791537697828,baseline
da-05-chemicalUsage,4,random-sc,0.4375,0.11967838846954226,-0.5253536471213897,0.12359791537697828,baseline
da-06-stayAtHome,0,random,0.6111111111111112,0.06696300316010248,-0.3888888888888889,0.06696300316010248,baseline
da-06-stayAtHome,1,random,0.6111111111111112,0.06696300316010248,-0.3888888888888889,0.06696300316010248,baseline
da-06-stayAtHome,2,random,0.6111111111111112,0.06696300316010248,-0.3888888888888889,0.06696300316010248,baseline
da-06-stayAtHome,3,random,0.6111111111111112,0.06696300316010248,-0.3888888888888889,0.06696300316010248,baseline
da-06-stayAtHome,4,random,0.6111111111111112,0.06696300316010248,-0.3888888888888889,0.06696300316010248,baseline
da-06-stayAtHome,0,random-sc,0.6111111111111112,0.06696300316010248,-0.3888888888888889,0.06696300316010248,baseline
da-06-stayAtHome,1,random-sc,0.6111111111111112,0.06696300316010248,-0.3888888888888889,0.06696300316010248,baseline
da-06-stayAtHome,2,random-sc,0.6111111111111112,0.06696300316010248,-0.3888888888888889,0.06696300316010248,baseline
da-06-stayAtHome,3,random-sc,0.6111111111111112,0.06696300316010248,-0.3888888888888889,0.06696300316010248,baseline
da-06-stayAtHome,4,random-sc,0.6111111111111112,0.06696300316010248,-0.3888888888888889,0.06696300316010248,baseline
gpt-01-disasterManagement,0,random,0.3333333333333333,0.16666666666666666,-0.6666666666666666,0.16666666666666666,baseline
gpt-01-disasterManagement,1,random,0.3333333333333333,0.16666666666666666,-0.6666666666666666,0.16666666666666666,baseline
