instance,context,maximum coverage per day
cpd25,1,0
cpd5,1,0
cpd28,1,0
cpd10,1,0
cpd9,1,0
cpd7,1,0
cpd1,1,0
cpd13,1,0
cpd32,1,0
cpd19,1,0
cpd2,1,0
cpd29,1,0
cpd12,1,0
cpd20,1,0
cpd31,1,0
cpd15,1,0
cpd16,1,0
cpd23,1,0
cpd3,1,0
cpd24,1,0
cpd30,1,0
cpd4,1,0
cpd17,1,0
cpd26,1,0
cpd18,1,0
cpd14,1,0
cpd21,1,0
cpd27,1,0
cpd8,1,0
cpd6,1,0
cpd22,1,0
cpd11,1,0
