instance,context,usage decision
cpd10,1,permit
cpd6,1,permit
cpd4,1,permit
cpd5,1,permit
cpd16,1,permit
cpd15,1,permit
cpd13,1,permit
cpd12,1,permit
cpd11,1,permit
cpd3,1,permit
cpd14,1,permit
cpd7,1,permit
cpd1,1,permit
cpd2,1,permit
cpd8,1,permit
cpd9,1,permit
